id,actual,predict
989,14.735663,14.78713952
991,12.161962,12.11062578
995,29.199866,29.25137796
997,14.993034,15.03936855
1003,12.52228,12.47061812
1006,12.419332,12.43362075
1011,13.088495,13.03702
1028,15.353352,15.341238
1029,16.382832,16.33135972
1031,28.942496,28.8961503
1032,15.507774,15.56150218
1037,16.434306,16.48572397
1040,28.839548,28.87286562
1045,28.324807,28.37669378
1049,28.633651,28.65096339
1054,28.170385,28.13650238
1059,17.463787,17.51480649
1062,28.067437,28.07243128
1069,16.640203,16.5896748
1070,16.537255,16.588729
1073,14.529767,14.4784539
1075,16.743151,16.691677
1076,17.051995,16.94868616
1078,17.000521,16.94248468
1081,16.794625,16.8334863
1088,14.220923,14.16944903
1090,14.117975,14.06710071
1095,35.89149,35.79819335
1101,11.595748,11.65049277
1107,29.148392,29.13056827
1122,27.604171,27.70692348
1134,36.40623,36.45787093
1141,13.654709,13.69588458
1145,27.192379,27.24385385
1146,21.890554,21.91495645
1147,24.103937,24.05246108
1149,13.551761,13.60323352
1151,26.935008,26.98648298
1157,13.500287,13.44915064
1161,24.206885,24.155411
1170,23.324611,23.32825006
1173,23.174103,23.12934575
1181,22.722581,22.79998751
1182,22.647328,22.79906278
1189,22.120552,22.19581357
1190,24.75443,24.67917862
1191,22.045299,21.89479211
1192,21.970045,21.89419736
1198,25.281206,24.48882557
1205,36.26824,36.28167343
1214,11.133518,10.983011
1215,35.590957,35.59260064
1221,11.058264,10.983011
1226,10.907757,10.983011
1227,33.483855,33.55752311
1229,34.913674,34.87745588
1236,34.687913,34.76706032
1237,33.709616,33.71021282
1238,33.935377,33.90707704
1239,34.236391,34.31164074
1241,34.161138,34.09220616
1243,34.61266,34.54772696
1244,34.386899,34.43667826
1249,10.75725,10.68093727
1263,9.628445,9.71024969
1267,7.446089,7.416758837
1270,7.521342,7.43746201
1273,8.198625,8.079977543
1277,7.596596,7.573220326
1281,7.747103,7.660542977
1282,7.06982,7.252323771
1287,8.800655,8.881230936
1291,9.32743,9.253229211
1292,7.897611,7.866846063
1293,9.026416,8.919971543
1296,9.176923,9.10608911
1298,33.258094,33.18600965
1300,25.35646,25.50702382
1305,32.806572,32.87897116
1307,11.284025,11.434533
1308,11.208772,11.43453299
1311,11.359279,11.434533
1314,11.509786,11.5840163
1329,21.292762,21.35175495
1332,21.067001,21.04787908
1339,20.84124,20.76926676
1342,20.540225,20.61547294
1352,15.648738,15.57682863
1356,15.197216,15.23845311
1361,15.874499,15.88921291
1363,18.508377,18.42195094
1365,18.58363,18.433123
1367,16.401274,16.32605607
1375,17.229064,17.304318
1391,18.056855,18.14036774
1392,17.078557,17.00334786
1400,14.820947,14.896201
1401,14.745694,14.59537925
1402,32.656064,32.62975053
1403,14.67044,14.59518598
1405,20.314464,20.239211
1407,33.634362,33.55910824
1409,32.580811,32.50554691
1412,25.431713,25.50893615
1415,12.337577,12.262323
1420,12.41283,12.488084
1423,20.088703,20.163957
1425,30.774723,30.69947223
1435,30.849977,30.92486308
1441,31.677767,31.60264076
1447,31.075738,31.15098175
1450,13.993157,13.92814334
1452,14.444679,14.42400759
1457,13.767396,13.84207096
1464,31.226245,31.18897463
1465,12.563338,12.638591
1471,20.01345,19.938196
1472,19.41142,19.486674
1479,29.570664,29.63004388
1481,27.538816,27.55694634
1485,28.517113,28.5914478
1487,28.366606,28.31879776
1497,26.485264,26.4301443
1505,12.713845,12.6462187
1509,28.140845,28.08440847
1512,28.893381,29.04355837
1517,19.185659,19.260913
1522,27.83983,27.76440589
1526,28.968635,29.04389232
1527,27.087294,27.1229547
1528,28.667621,28.59237833
1531,13.014859,12.93960591
1535,13.090113,13.16565428
1539,30.022186,30.01262352
1542,25.807981,25.732728
1547,29.871679,29.93016577
1549,13.391128,13.46638119
1550,13.315874,13.24059308
1554,38.15185,38.21233164
1556,38.500663,38.52108122
1557,38.361138,38.43152268
1559,21.897165,21.966928
1562,23.990043,23.94541217
1565,23.780755,23.72799633
1566,23.292417,23.34128446
