id,Actual,Predicted
449,17.211917,22.95503044
450,17.270043,22.95503044
452,31.162097,25.67760086
454,12.503731,8.495054245
459,12.38748,8.495054245
464,12.213103,8.495054245
473,13.840624,8.495054245
481,13.724372,26.91684341
483,30.464588,25.67760086
487,13.549995,26.91684341
488,13.491869,26.91684341
490,26.221408,25.67760086
491,26.686414,42.70906448
492,26.918917,42.70906448
494,27.035169,42.70906448
495,29.243947,25.67760086
497,28.778941,25.67760086
498,28.139558,25.67760086
500,30.58084,25.67760086
504,28.313935,25.67760086
506,22.036354,22.95503044
510,12.852486,8.495054245
515,28.720816,25.67760086
519,27.674552,25.67760086
522,28.197684,25.67760086
525,11.108713,8.495054245
534,28.953319,25.67760086
539,28.430187,25.67760086
541,30.232085,25.67760086
546,30.173959,25.67760086
547,27.500175,37.49991989
549,28.372061,25.67760086
554,29.767079,25.67760086
556,27.383923,25.67760086
557,29.825205,25.67760086
558,27.267672,37.49991989
562,11.748097,8.495054245
563,30.115834,25.67760086
564,27.325798,37.49991989
567,12.968737,8.495054245
568,11.457468,8.495054245
571,29.883331,25.67760086
574,30.057708,25.67760086
579,29.999582,25.67760086
584,21.736132,22.95503044
591,21.787606,22.95503044
598,21.324339,22.95503044
599,21.272865,22.95503044
612,22.508242,22.95503044
615,23.228878,22.95503044
619,22.971508,22.95503044
626,20.964021,22.95503044
627,20.912547,22.95503044
629,20.861073,22.95503044
637,19.522748,22.95503044
638,20.088963,22.95503044
639,20.294859,22.95503044
642,20.191911,22.95503044
648,20.397807,22.95503044
650,19.93454,22.95503044
660,23.692145,41.37681961
662,19.265378,8.495054245
664,19.368326,8.495054245
667,19.4198,8.495054245
671,17.875579,8.495054245
672,17.772631,8.495054245
673,17.721157,8.495054245
683,17.618209,8.495054245
685,18.030001,8.495054245
693,18.39032,8.495054245
707,24.515729,19.95996284
709,24.464255,19.95996284
720,35.685594,33.859375
722,33.008944,32.82606125
723,32.597152,32.82606125
728,32.803048,32.82606125
732,32.648626,32.82606125
735,24.876047,1.538173676
737,24.927521,1.538173676
738,24.978995,19.95996284
741,25.133417,42.70906448
745,25.339314,42.70906448
749,29.560184,43.34230804
753,25.54521,42.70906448
762,32.391256,32.82606125
765,33.111892,18.36608505
773,32.133885,32.82606125
780,35.376749,33.859375
786,34.501691,18.36608505
799,26.523216,36.10959625
800,26.420268,36.10959625
812,26.729112,36.10959625
813,26.780586,36.10959625
821,29.663132,26.31084824
824,34.089899,18.36608505
825,34.192847,18.36608505
828,33.986951,18.36608505
830,33.266314,18.36608505
831,33.21484,18.36608505
843,33.47221,18.36608505
844,29.76608,24.92052078
849,31.825041,32.82606125
851,31.567671,24.92052078
853,31.464723,24.92052078
863,27.449749,54.53138733
873,31.155879,24.92052078
874,30.692613,24.92052078
878,30.435243,24.92052078
880,30.383768,24.92052078
887,6.911611,8.495054245
890,7.271929,8.495054245
891,7.168981,8.495054245
900,6.860137,8.495054245
904,11.132481,8.495054245
908,11.544274,8.495054245
911,8.04404,8.495054245
912,11.235429,8.495054245
915,11.853118,8.495054245
920,8.404358,8.495054245
922,7.632247,8.495054245
923,7.529299,8.495054245
938,8.198462,8.495054245
941,10.823637,8.495054245
943,10.257423,8.495054245
948,8.661728,8.495054245
949,8.249936,8.495054245
950,8.55878,8.495054245
951,9.33089,8.495054245
971,9.07352,8.495054245
974,9.433838,8.495054245
976,9.536786,8.495054245
977,9.588261,8.495054245
981,9.948579,8.495054245
983,9.845631,8.495054245
989,14.735663,8.495054245
994,29.25134,24.92052078
1000,15.095982,8.495054245
1002,14.632715,8.495054245
1011,13.088495,8.495054245
1012,13.139969,8.495054245
1018,15.71367,8.495054245
1019,15.816618,8.495054245
1021,15.765144,8.495054245
1030,15.250404,8.495054245
1035,16.279884,8.495054245
1037,16.434306,8.495054245
1049,28.633651,2.928501129
1051,28.376281,2.928501129
1059,17.463787,8.495054245
1060,17.412313,8.495054245
1065,23.846567,41.37681961
1068,28.015963,14.75082111
1070,16.537255,26.91684341
1077,17.103469,8.495054245
1091,14.066501,8.495054245
1093,26.162898,24.28727531
1094,36.045912,33.859375
1096,29.302814,24.92052078
1102,27.398275,54.53138733
1107,29.148392,24.92052078
1110,24.052463,52.99320984
1116,29.096918,31.78228378
1121,21.83908,22.95503044
1123,27.655645,42.70906448
1131,12.625228,8.495054245
1138,36.560652,33.859375
1151,26.935008,36.10959625
1159,24.155411,52.99320984
1160,13.448813,8.495054245
1167,23.550372,22.95503044
1170,23.324611,22.95503044
1175,24.077147,22.95503044
1180,22.797835,22.95503044
1183,22.572074,22.95503044
1184,22.49682,22.95503044
1189,22.120552,22.95503044
1190,24.75443,39.24456787
1192,21.970045,22.95503044
1193,21.894791,22.95503044
1206,36.192986,32.82606125
1209,35.967225,32.82606125
1214,11.133518,8.495054245
1216,35.515703,32.82606125
1220,10.983011,8.495054245
1227,33.483855,24.92052078
1233,34.838421,32.82606125
1237,33.709616,24.92052078
1238,33.935377,24.92052078
1247,10.832503,8.495054245
1249,10.75725,8.495054245
1250,10.531489,8.495054245
1251,10.456235,8.495054245
1253,10.305728,8.495054245
1256,10.15522,8.495054245
1257,10.079967,8.495054245
1267,7.446089,8.495054245
1269,9.477938,8.495054245
1270,7.521342,8.495054245
1277,7.596596,8.495054245
1287,8.800655,8.495054245
1290,8.951162,8.495054245
1292,7.897611,8.495054245
1294,7.220328,8.495054245
1298,33.258094,24.92052078
1300,25.35646,54.737854
1301,33.18284,24.92052078
1306,21.819538,22.95503044
1313,21.593777,22.95503044
1314,11.509786,8.495054245
1318,21.443269,22.95503044
1333,18.734138,22.95503044
1349,15.347723,26.91684341
1350,15.422977,26.91684341
1351,15.49823,26.91684341
1362,16.100259,8.495054245
1367,16.401274,8.495054245
1371,16.551781,8.495054245
1376,16.702289,8.495054245
1400,14.820947,26.91684341
1404,25.205952,54.737854
1409,32.580811,24.92052078
1410,32.505557,24.92052078
1414,30.548962,37.49991989
1419,30.699469,37.49991989
1421,14.595186,26.91684341
1423,20.088703,8.495054245
1426,30.398455,37.49991989
1427,32.430303,24.92052078
1430,14.519933,8.495054245
1431,30.92523,37.49991989
1433,30.323201,37.49991989
1435,30.849977,37.49991989
1441,31.677767,7.889059067
1442,31.828274,7.889059067
1455,13.917903,8.495054245
1458,12.488084,26.91684341
1460,26.259503,25.67760086
1461,30.172694,37.49991989
1463,27.463562,25.67760086
1469,29.420157,37.49991989
1473,26.711025,25.67760086
1487,28.366606,25.67760086
1488,19.938196,8.495054245
1491,19.336167,8.495054245
1496,26.334757,25.67760086
1498,27.689323,37.49991989
1499,12.864352,8.495054245
